Minimum occurences,Recall Without,Precision Without,F1-measure Without,Nr Relations Without,Recall With,Precision With,F1-measure With,Nr Relations With
197,0.08527131782945736,0.5675675675675675,0.14826700898587933,37,0.08139534883720931,0.625,0.1440329218106996,32
198,0.08527131782945736,0.5675675675675675,0.14826700898587933,37,0.08139534883720931,0.625,0.1440329218106996,32
199,0.08527131782945736,0.5675675675675675,0.14826700898587933,37,0.08139534883720931,0.625,0.1440329218106996,32
200,0.08527131782945736,0.5675675675675675,0.14826700898587933,37,0.08139534883720931,0.625,0.1440329218106996,32
201,0.08527131782945736,0.5833333333333334,0.14879227053140096,36,0.08139534883720931,0.6451612903225806,0.14455343314403718,31
202,0.08527131782945736,0.5833333333333334,0.14879227053140096,36,0.08139534883720931,0.6451612903225806,0.14455343314403718,31
203,0.08527131782945736,0.5833333333333334,0.14879227053140096,36,0.08139534883720931,0.6451612903225806,0.14455343314403718,31
204,0.08527131782945736,0.6,0.1493212669683258,35,0.08139534883720931,0.6451612903225806,0.14455343314403718,31
205,0.08527131782945736,0.6,0.1493212669683258,35,0.08139534883720931,0.6451612903225806,0.14455343314403718,31
206,0.08527131782945736,0.6,0.1493212669683258,35,0.08139534883720931,0.6451612903225806,0.14455343314403718,31
207,0.08527131782945736,0.6,0.1493212669683258,35,0.08139534883720931,0.6451612903225806,0.14455343314403718,31
208,0.08527131782945736,0.6,0.1493212669683258,35,0.08139534883720931,0.6451612903225806,0.14455343314403718,31
209,0.08527131782945736,0.6,0.1493212669683258,35,0.08139534883720931,0.6451612903225806,0.14455343314403718,31
210,0.08527131782945736,0.6,0.1493212669683258,35,0.08139534883720931,0.6451612903225806,0.14455343314403718,31
211,0.08527131782945736,0.6,0.1493212669683258,35,0.08139534883720931,0.6451612903225806,0.14455343314403718,31
212,0.08527131782945736,0.6,0.1493212669683258,35,0.08139534883720931,0.6451612903225806,0.14455343314403718,31
213,0.08527131782945736,0.6,0.1493212669683258,35,0.08139534883720931,0.6451612903225806,0.14455343314403718,31
214,0.08527131782945736,0.6,0.1493212669683258,35,0.08139534883720931,0.6451612903225806,0.14455343314403718,31
215,0.08527131782945736,0.6,0.1493212669683258,35,0.08139534883720931,0.6451612903225806,0.14455343314403718,31
216,0.08527131782945736,0.6,0.1493212669683258,35,0.08139534883720931,0.6451612903225806,0.14455343314403718,31
217,0.08527131782945736,0.6,0.1493212669683258,35,0.08139534883720931,0.6451612903225806,0.14455343314403718,31
218,0.08527131782945736,0.6,0.1493212669683258,35,0.08139534883720931,0.6451612903225806,0.14455343314403718,31
219,0.08527131782945736,0.6,0.1493212669683258,35,0.08139534883720931,0.6451612903225806,0.14455343314403718,31
220,0.08527131782945736,0.6,0.1493212669683258,35,0.08139534883720931,0.6451612903225806,0.14455343314403718,31
221,0.08527131782945736,0.6,0.1493212669683258,35,0.08139534883720931,0.6451612903225806,0.14455343314403718,31
222,0.08527131782945736,0.6,0.1493212669683258,35,0.08139534883720931,0.6451612903225806,0.14455343314403718,31
223,0.08527131782945736,0.6,0.1493212669683258,35,0.08139534883720931,0.6451612903225806,0.14455343314403718,31
224,0.08527131782945736,0.6,0.1493212669683258,35,0.08139534883720931,0.6451612903225806,0.14455343314403718,31
225,0.08527131782945736,0.6,0.1493212669683258,35,0.08139534883720931,0.6451612903225806,0.14455343314403718,31
